Index;Text;Cause;Effect;Offset_Sentence2;Offset_Sentence3;Cause_Start;Cause_End;Effect_Start;Effect_End;Sentence
0018.00003;Park Hotels & Resorts has a payout ratio of 62.9% meaning its dividend is sufficiently covered by earnings.;its dividend is sufficiently covered by earnings.;Park Hotels & Resorts has a payout ratio of 62.9%;;;58;107;0;49;<e2>Park Hotels & Resorts has a payout ratio of 62.9%</e2> meaning <e1>its dividend is sufficiently covered by earnings.</e1>
0018.00009;The financial services provider reported $0.40 earnings per share (EPS) for the quarter, missing the consensus estimate of $0.82 by ($0.42).;The financial services provider reported $0.40 earnings per share (EPS) for the quarter;missing the consensus estimate of $0.82 by ($0.42).;;;0;87;89;140;<e1>The financial services provider reported $0.40 earnings per share (EPS) for the quarter</e1>, <e2>missing the consensus estimate of $0.82 by ($0.42).</e2>
0021.00006;Not now, the split is too great and there is no way to get Treasury back in line except with a Nixon Shock. The private banking system cannot keep up with the 10% increase in interest charges that Treasury is looking at.;Not now, the split is too great and there is no way to get Treasury back in line except with a Nixon Shock.;The private banking system cannot keep up with the 10% increase in interest charges that Treasury is looking at.;107.0;;0;107;108;220;<e1>Not now, the split is too great and there is no way to get Treasury back in line except with a Nixon Shock.</e1> <e2>The private banking system cannot keep up with the 10% increase in interest charges that Treasury is looking at.</e2>
0022.00001.1;Firm Capital Mortgage Investment Corp (TSE:FC) to Issue Monthly Dividend of $0.08 Tweet  Firm Capital Mortgage Investment Corp (TSE:FC) declared a monthly dividend on Friday, September 27th, TickerTech reports. Investors of record on Tuesday, October 15th will be given a dividend of 0.078 per share on Tuesday, October 15th. This represents a $0.94 dividend on an annualized basis and a dividend yield of 6.71%.;Firm Capital Mortgage Investment Corp (TSE:FC) to Issue Monthly Dividend of $0.08 Tweet  Firm Capital Mortgage Investment Corp (TSE:FC) declared a monthly dividend on Friday, September 27th, TickerTech reports.;Investors of record on Tuesday, October 15th will be given a dividend of 0.078 per share on Tuesday, October 15th.;210.0;325.0;0;210;211;325;<e1>Firm Capital Mortgage Investment Corp (TSE:FC) to Issue Monthly Dividend of $0.08 Tweet  Firm Capital Mortgage Investment Corp (TSE:FC) declared a monthly dividend on Friday, September 27th, TickerTech reports.</e1> <e2>Investors of record on Tuesday, October 15th will be given a dividend of 0.078 per share on Tuesday, October 15th.</e2> This represents a $0.94 dividend on an annualized basis and a dividend yield of 6.71%.
0022.00001.2;Firm Capital Mortgage Investment Corp (TSE:FC) to Issue Monthly Dividend of $0.08 Tweet  Firm Capital Mortgage Investment Corp (TSE:FC) declared a monthly dividend on Friday, September 27th, TickerTech reports. Investors of record on Tuesday, October 15th will be given a dividend of 0.078 per share on Tuesday, October 15th. This represents a $0.94 dividend on an annualized basis and a dividend yield of 6.71%.;Firm Capital Mortgage Investment Corp (TSE:FC) to Issue Monthly Dividend of $0.08 Tweet  Firm Capital Mortgage Investment Corp (TSE:FC) declared a monthly dividend on Friday, September 27th, TickerTech reports.;This represents a $0.94 dividend on an annualized basis and a dividend yield of 6.71%.;210.0;325.0;0;210;326;412;<e1>Firm Capital Mortgage Investment Corp (TSE:FC) to Issue Monthly Dividend of $0.08 Tweet  Firm Capital Mortgage Investment Corp (TSE:FC) declared a monthly dividend on Friday, September 27th, TickerTech reports.</e1> Investors of record on Tuesday, October 15th will be given a dividend of 0.078 per share on Tuesday, October 15th. <e2>This represents a $0.94 dividend on an annualized basis and a dividend yield of 6.71%.</e2>
0023.00008;Analyst Ratings  This is a breakdown of current ratings and recommmendations for Alta Mesa Resources and Repay, as provided by MarketBeat.com.  - - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - Alta Mesa Resources - 1 - 2 - 0 - 0 - 1.67  - Repay - 0 - 0 - 2 - 0 - 3.00  Alta Mesa Resources presently has a consensus price target of $6.25, suggesting a potential upside of 6,844.44%.;Alta Mesa Resources presently has a consensus price target of $6.25;suggesting a potential upside of 6,844.44%.;;;305;372;374;417;Analyst Ratings  This is a breakdown of current ratings and recommmendations for Alta Mesa Resources and Repay, as provided by MarketBeat.com.  - - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - Alta Mesa Resources - 1 - 2 - 0 - 0 - 1.67  - Repay - 0 - 0 - 2 - 0 - 3.00  <e1>Alta Mesa Resources presently has a consensus price target of $6.25</e1>, <e2>suggesting a potential upside of 6,844.44%.</e2>
0028.00003;Shares of WisdomTree U.S. Dividend ex-Financials Fund stock traded down $0.90 on Tuesday, reaching $86.59. 14,600 shares of the company traded hands, compared to its average volume of 16,919. WisdomTree U.S. Dividend ex-Financials Fund has a 52 week low of $72.58 and a 52 week high of $91.67.;Shares of WisdomTree U.S. Dividend ex-Financials Fund stock traded down $0.90 on Tuesday;reaching $86.59.;;;0;88;90;106;<e1>Shares of WisdomTree U.S. Dividend ex-Financials Fund stock traded down $0.90 on Tuesday</e1>, <e2>reaching $86.59.</e2> 14,600 shares of the company traded hands, compared to its average volume of 16,919. WisdomTree U.S. Dividend ex-Financials Fund has a 52 week low of $72.58 and a 52 week high of $91.67.
0029.00007;Commonwealth Equity Services LLC raised its position in iShares Select Dividend ETF by 13.3% during the first quarter. Commonwealth Equity Services LLC now owns 733,357 shares of the company's stock valued at $72,001,000 after purchasing an additional 85,817 shares in the last quarter.;Commonwealth Equity Services LLC raised its position in iShares Select Dividend ETF by 13.3% during the first quarter.;Commonwealth Equity Services LLC now owns 733,357 shares of the company's stock valued at $72,001,000 after purchasing an additional 85,817 shares in the last quarter.;118.0;;0;118;119;286;<e1>Commonwealth Equity Services LLC raised its position in iShares Select Dividend ETF by 13.3% during the first quarter.</e1> <e2>Commonwealth Equity Services LLC now owns 733,357 shares of the company's stock valued at $72,001,000 after purchasing an additional 85,817 shares in the last quarter.</e2>
0029.00008;Finally, First Republic Investment Management Inc. raised its position in iShares Select Dividend ETF by 6.8% during the second quarter. First Republic Investment Management Inc. now owns 687,447 shares of the company's stock valued at $68,442,000 after purchasing an additional 43,678 shares in the last quarter.;Finally, First Republic Investment Management Inc. raised its position in iShares Select Dividend ETF by 6.8% during the second quarter.;First Republic Investment Management Inc. now owns 687,447 shares of the company's stock valued at $68,442,000 after purchasing an additional 43,678 shares in the last quarter.;136.0;;0;136;137;313;<e1>Finally, First Republic Investment Management Inc. raised its position in iShares Select Dividend ETF by 6.8% during the second quarter.</e1> <e2>First Republic Investment Management Inc. now owns 687,447 shares of the company's stock valued at $68,442,000 after purchasing an additional 43,678 shares in the last quarter.</e2>
0031.00028;The tax basically covers both the employer and employee portion of the Social Security and Medicare taxes. The self-employment tax liability is 15.3% of the net earnings.;The tax basically covers both the employer and employee portion of the Social Security and Medicare taxes.;The self-employment tax liability is 15.3% of the net earnings.;106.0;;0;106;107;170;<e1>The tax basically covers both the employer and employee portion of the Social Security and Medicare taxes.</e1> <e2>The self-employment tax liability is 15.3% of the net earnings.</e2>
0037.00003;Stocks climbed on Tuesday as oil prices fell and the Federal Reserve began its two-day meeting to determine the direction of interest rates. US monetary policy has been key a focus over the last several weeks as other central banks around the world have lowered interest rates to stave-off slowing growth. The Fed is expected to follow suit and cut borrowing costs by 25 basis points in September.;Stocks climbed on Tuesday as oil prices fell and the Federal Reserve began its two-day meeting to determine the direction of interest rates.;The Fed is expected to follow suit and cut borrowing costs by 25 basis points in September.;140.0;305.0;0;140;306;397;<e1>Stocks climbed on Tuesday as oil prices fell and the Federal Reserve began its two-day meeting to determine the direction of interest rates.</e1> US monetary policy has been key a focus over the last several weeks as other central banks around the world have lowered interest rates to stave-off slowing growth. <e2>The Fed is expected to follow suit and cut borrowing costs by 25 basis points in September.</e2>
0038.00008;ECONOMY - Provide up to 2,000 entrepreneurs with C$50,000 to launch a new business.;launch a new business.;ECONOMY - Provide up to 2,000 entrepreneurs with C$50,000;;;61;83;0;57;<e2>ECONOMY - Provide up to 2,000 entrepreneurs with C$50,000</e2> to <e1>launch a new business.</e1>
0043.00002;Prudential subsidiaries PGIM Investments and AST Investment Services have paid out a combined $187 million after the Securities and Exchange Commission (SEC) charged the firms with misleading fund shareholders. PRU, which does not admit or deny the claims, will pay a $32.6M settlement and reimburse more than $155M to the funds.;Prudential subsidiaries PGIM Investments and AST Investment Services have paid out a combined $187 million after the Securities and Exchange Commission (SEC) charged the firms with misleading fund shareholders.;PRU, which does not admit or deny the claims, will pay a $32.6M settlement and reimburse more than $155M to the funds.;210.0;;0;210;211;329;<e1>Prudential subsidiaries PGIM Investments and AST Investment Services have paid out a combined $187 million after the Securities and Exchange Commission (SEC) charged the firms with misleading fund shareholders.</e1> <e2>PRU, which does not admit or deny the claims, will pay a $32.6M settlement and reimburse more than $155M to the funds.</e2>
0045.00002.1;(NASDAQ:JKHY) declared a quarterly dividend on Monday, August 26th, NASDAQ reports. Investors of record on Monday, September 9th will be paid a dividend of 0.40 per share by the technology company on Monday, September 30th. This represents a $1.60 annualized dividend and a dividend yield of 1.08%.;(NASDAQ:JKHY) declared a quarterly dividend on Monday, August 26th, NASDAQ reports.;Investors of record on Monday, September 9th will be paid a dividend of 0.40 per share by the technology company on Monday, September 30th.;83.0;223.0;0;83;84;223;<e1>(NASDAQ:JKHY) declared a quarterly dividend on Monday, August 26th, NASDAQ reports.</e1> <e2>Investors of record on Monday, September 9th will be paid a dividend of 0.40 per share by the technology company on Monday, September 30th.</e2> This represents a $1.60 annualized dividend and a dividend yield of 1.08%.
0045.00002.2;(NASDAQ:JKHY) declared a quarterly dividend on Monday, August 26th, NASDAQ reports. Investors of record on Monday, September 9th will be paid a dividend of 0.40 per share by the technology company on Monday, September 30th. This represents a $1.60 annualized dividend and a dividend yield of 1.08%.;(NASDAQ:JKHY) declared a quarterly dividend on Monday, August 26th, NASDAQ reports.;This represents a $1.60 annualized dividend and a dividend yield of 1.08%.;83.0;223.0;0;83;224;298;<e1>(NASDAQ:JKHY) declared a quarterly dividend on Monday, August 26th, NASDAQ reports.</e1> Investors of record on Monday, September 9th will be paid a dividend of 0.40 per share by the technology company on Monday, September 30th. <e2>This represents a $1.60 annualized dividend and a dividend yield of 1.08%.</e2>
0046.00007;GBP is the strongest of the majors, up 0.6% to 1.2540, on a continuing positive Brexit vibe.;continuing positive Brexit vibe.;GBP is the strongest of the majors, up 0.6% to 1.2540,;;;60;92;0;54;<e2>GBP is the strongest of the majors, up 0.6% to 1.2540,</e2> on a <e1>continuing positive Brexit vibe.</e1>
0047.00010;In the twelve years of operation there have been several hundred individuals involved with the twelve ownership groups, with group number thirteen currently forming. As Howard points out, LandMark groups never own 100 percent of a horse.;In the twelve years of operation there have been several hundred individuals involved with the twelve ownership groups, with group number thirteen currently forming.;As Howard points out, LandMark groups never own 100 percent of a horse.;165.0;;0;165;166;237;<e1>In the twelve years of operation there have been several hundred individuals involved with the twelve ownership groups, with group number thirteen currently forming.</e1> <e2>As Howard points out, LandMark groups never own 100 percent of a horse.</e2>
0048.00007;Prosecutors allege that players in the scheme misled the state into thinking a stock had multiple owners who were each owed a dividend and a tax credit. Germany estimates such trades cost it more than 5 billion euros in total.;Prosecutors allege that players in the scheme misled the state into thinking a stock had multiple owners who were each owed a dividend and a tax credit.;Germany estimates such trades cost it more than 5 billion euros in total.;152.0;;0;152;153;226;<e1>Prosecutors allege that players in the scheme misled the state into thinking a stock had multiple owners who were each owed a dividend and a tax credit.</e1> <e2>Germany estimates such trades cost it more than 5 billion euros in total.</e2>
0049.00001;The majority of councils around the country have decided to increase property tax levels by up to 15 per cent amid rising pressure on local budgets. Out of 24 councils that have so far voted on property tax proposals, 14 have voted to increase the charge.;Out of 24 councils that have so far voted on property tax proposals, 14 have voted to increase the charge.;The majority of councils around the country have decided to increase property tax levels by up to 15 per cent amid rising pressure on local budgets.;148.0;;149;255;0;148;<e2>The majority of councils around the country have decided to increase property tax levels by up to 15 per cent amid rising pressure on local budgets.</e2> <e1>Out of 24 councils that have so far voted on property tax proposals, 14 have voted to increase the charge.</e1>
0049.00007;In Leitrim, the 15 per cent increase will go towards tourism development, regeneration of town centres and community development.;towards tourism development, regeneration of town centres and community development.;In Leitrim, the 15 per cent increase;;;45;129;0;36;<e2>In Leitrim, the 15 per cent increase</e2> will go <e1>towards tourism development, regeneration of town centres and community development.</e1>
0049.00009;In Cavan, acting chief executive of the council Eoin Doyle warned that in order to allow for more funding for communities and local projects an increase of 15 per cent was needed.;In Cavan, acting chief executive of the council Eoin Doyle warned that in order to allow for more funding for communities and local projects;an increase of 15 per cent was needed.;;;0;140;141;179;<e1>In Cavan, acting chief executive of the council Eoin Doyle warned that in order to allow for more funding for communities and local projects</e1> <e2>an increase of 15 per cent was needed.</e2>
0052.00004;Photograph: Michaela Rehle/Reuters  British American Tobacco is being pursued by the Dutch authorities for £902m in unpaid taxes, as the maker of Rothmans, Camel and Lucky Strike cigarettes stands accused of avoiding tax on money channelled through the Netherlands.;the maker of Rothmans, Camel and Lucky Strike cigarettes stands accused of avoiding tax on money channelled through the Netherlands.;Photograph: Michaela Rehle/Reuters  British American Tobacco is being pursued by the Dutch authorities for £902m in unpaid taxes,;;;133;265;0;129;<e2>Photograph: Michaela Rehle/Reuters  British American Tobacco is being pursued by the Dutch authorities for £902m in unpaid taxes,</e2> as <e1>the maker of Rothmans, Camel and Lucky Strike cigarettes stands accused of avoiding tax on money channelled through the Netherlands.</e1>
0053.00015.1;Based on geography, China and Japan countries hold major share in automotive exhaust system market owing to growth in volume of sale of passenger vehicles in the countries. USA and EU are expected to showcase a substantial growth rate over the forecast time frame due to stringent regulations regarding emissions. The global market is expected to grow at a CAGR of approximately 4.6% over the next five years, will reach US $46100 million in 2024, from US $35200 million in 2019.;Based on geography, China and Japan countries hold major share in automotive exhaust system market owing to growth in volume of sale of passenger vehicles in the countries.;The global market is expected to grow at a CAGR of approximately 4.6% over the next five years, will reach US $46100 million in 2024, from US $35200 million in 2019.;172.0;313.0;0;172;314;479;<e1>Based on geography, China and Japan countries hold major share in automotive exhaust system market owing to growth in volume of sale of passenger vehicles in the countries.</e1> USA and EU are expected to showcase a substantial growth rate over the forecast time frame due to stringent regulations regarding emissions. <e2>The global market is expected to grow at a CAGR of approximately 4.6% over the next five years, will reach US $46100 million in 2024, from US $35200 million in 2019.</e2>
0053.00015.2;Based on geography, China and Japan countries hold major share in automotive exhaust system market owing to growth in volume of sale of passenger vehicles in the countries. USA and EU are expected to showcase a substantial growth rate over the forecast time frame due to stringent regulations regarding emissions. The global market is expected to grow at a CAGR of approximately 4.6% over the next five years, will reach US $46100 million in 2024, from US $35200 million in 2019.;USA and EU are expected to showcase a substantial growth rate over the forecast time frame due to stringent regulations regarding emissions.;The global market is expected to grow at a CAGR of approximately 4.6% over the next five years, will reach US $46100 million in 2024, from US $35200 million in 2019.;172.0;313.0;173;313;314;479;Based on geography, China and Japan countries hold major share in automotive exhaust system market owing to growth in volume of sale of passenger vehicles in the countries. <e1>USA and EU are expected to showcase a substantial growth rate over the forecast time frame due to stringent regulations regarding emissions.</e1> <e2>The global market is expected to grow at a CAGR of approximately 4.6% over the next five years, will reach US $46100 million in 2024, from US $35200 million in 2019.</e2>
0056.00051.1;So you discover that both micro, micro plus and SME clients can find their space in our company. So if you are a N20,000 customer, we will give you that service. If you are a N50 million customer, we will give you that service.;So you discover that both micro, micro plus and SME clients can find their space in our company.;So if you are a N20,000 customer, we will give you that service.;96.0;161.0;0;96;97;161;<e1>So you discover that both micro, micro plus and SME clients can find their space in our company.</e1> <e2>So if you are a N20,000 customer, we will give you that service.</e2> If you are a N50 million customer, we will give you that service.
0056.00051.2;So you discover that both micro, micro plus and SME clients can find their space in our company. So if you are a N20,000 customer, we will give you that service. If you are a N50 million customer, we will give you that service.;So you discover that both micro, micro plus and SME clients can find their space in our company.;If you are a N50 million customer, we will give you that service.;96.0;161.0;0;96;162;227;<e1>So you discover that both micro, micro plus and SME clients can find their space in our company.</e1> So if you are a N20,000 customer, we will give you that service. <e2>If you are a N50 million customer, we will give you that service.</e2>
0056.00054;Then we have Alip, which is a scoring system that is based on your performance of your previous loan, a customer gets automatic renewal and a 20 percent increase immediately, so if you enjoy like N1 million loan, and you pay back very well, you will get N1.2 million.;Then we have Alip, which is a scoring system that is based on your performance of your previous loan, a customer gets automatic renewal and a 20 percent increase immediately;if you enjoy like N1 million loan, and you pay back very well, you will get N1.2 million.;;;0;173;178;267;<e1>Then we have Alip, which is a scoring system that is based on your performance of your previous loan, a customer gets automatic renewal and a 20 percent increase immediately</e1>, so <e2>if you enjoy like N1 million loan, and you pay back very well, you will get N1.2 million.</e2>
0058.00002;The individual income tax's share of total state and local revenues in Maryland ranked second highest among the 50 states, based on numbers from fiscal-year 2016, the most recent year for which data is available.;numbers from fiscal-year 2016, the most recent year for which data is available.;The individual income tax's share of total state and local revenues in Maryland ranked second highest among the 50 states,;;;132;212;0;122;<e2>The individual income tax's share of total state and local revenues in Maryland ranked second highest among the 50 states,</e2> based on <e1>numbers from fiscal-year 2016, the most recent year for which data is available.</e1>
0067.00013;Investors are catching on to B. Riley's growth story, driving up shares more than 70% year-to-date.;Investors are catching on to B. Riley's growth story;driving up shares more than 70% year-to-date.;;;0;52;54;99;<e1>Investors are catching on to B. Riley's growth story</e1>, <e2>driving up shares more than 70% year-to-date.</e2>
0067.00016.1;Second-quarter investment banking revenues totaled $104.3 million, a 30% increase from the same period in 2018. PlacementTracker listed Cowen as the most active publicly listed placement agent, leading more than $1.1 billion in investments across 17 deals in the second quarter.;PlacementTracker listed Cowen as the most active publicly listed placement agent;leading more than $1.1 billion in investments across 17 deals in the second quarter.;;;112;192;194;278;Second-quarter investment banking revenues totaled $104.3 million, a 30% increase from the same period in 2018. <e1>PlacementTracker listed Cowen as the most active publicly listed placement agent</e1>, <e2>leading more than $1.1 billion in investments across 17 deals in the second quarter.</e2>
0067.00016.2;Second-quarter investment banking revenues totaled $104.3 million, a 30% increase from the same period in 2018. PlacementTracker listed Cowen as the most active publicly listed placement agent, leading more than $1.1 billion in investments across 17 deals in the second quarter.;Second-quarter investment banking revenues totaled $104.3 million;a 30% increase from the same period in 2018.;;;0;65;67;111;<e1>Second-quarter investment banking revenues totaled $104.3 million</e1>, <e2>a 30% increase from the same period in 2018.</e2> PlacementTracker listed Cowen as the most active publicly listed placement agent, leading more than $1.1 billion in investments across 17 deals in the second quarter.
0068.00019;Then this year's proposed reassessment arrived, valuing the house even higher at $2.3 million.;Then this year's proposed reassessment arrived;valuing the house even higher at $2.3 million.;;;0;46;48;94;<e1>Then this year's proposed reassessment arrived</e1>, <e2>valuing the house even higher at $2.3 million.</e2>
0071.00042;COMPLICIT  After South Sudan's government halted oil production in 2012 amid a dispute with Khartoum, shortfalls in US dollars made importing goods next to impossible, so the government secured $922 million through oil-backed loans from Qatar National Bank and Stanbic Bank to finance procurement.;COMPLICIT  After South Sudan's government halted oil production in 2012 amid a dispute with Khartoum, shortfalls in US dollars made importing goods next to impossible;the government secured $922 million through oil-backed loans from Qatar National Bank and Stanbic Bank to finance procurement.;;;0;166;171;297;<e1>COMPLICIT  After South Sudan's government halted oil production in 2012 amid a dispute with Khartoum, shortfalls in US dollars made importing goods next to impossible</e1>, so <e2>the government secured $922 million through oil-backed loans from Qatar National Bank and Stanbic Bank to finance procurement.</e2>
0071.00048;CHILD SOLDIERS  The first transfer reportedly occurred on December 15, 2009, when pre-independence Southern Sudan's Ministry of Finance paid $65 million to Uganda-registered Cascade Construction as payment for a mobile system for aviation management and monitoring central unit, complete with radar and other equipment.;payment for a mobile system for aviation management and monitoring central unit, complete with radar and other equipment.;CHILD SOLDIERS  The first transfer reportedly occurred on December 15, 2009, when pre-independence Southern Sudan's Ministry of Finance paid $65 million to Uganda-registered Cascade Construction;;;198;319;0;194;<e2>CHILD SOLDIERS  The first transfer reportedly occurred on December 15, 2009, when pre-independence Southern Sudan's Ministry of Finance paid $65 million to Uganda-registered Cascade Construction</e2> as <e1>payment for a mobile system for aviation management and monitoring central unit, complete with radar and other equipment.</e1>
0079.00003.1;But after 12 months of welcoming drivers, figures released through a Freedom of Information (FOI) request show that the council's latest car park missed its first financial target by £286,000. Just 92 people parked in the car park on June 23 this year - taking £171, while the busiest day, December 20, saw £4,728 paid by 2,124 drivers. After a slow start to business in August 2018, the car park is now generating a net income of around £12,000 every week - still about £4,000 short of the average weekly target.;Just 92 people parked in the car park on June 23 this year - taking £171, while the busiest day, December 20, saw £4,728 paid by 2,124 drivers.;But after 12 months of welcoming drivers, figures released through a Freedom of Information (FOI) request show that the council's latest car park missed its first financial target by £286,000.;192.0;336.0;193;336;0;192;<e2>But after 12 months of welcoming drivers, figures released through a Freedom of Information (FOI) request show that the council's latest car park missed its first financial target by £286,000.</e2> <e1>Just 92 people parked in the car park on June 23 this year - taking £171, while the busiest day, December 20, saw £4,728 paid by 2,124 drivers.</e1> After a slow start to business in August 2018, the car park is now generating a net income of around £12,000 every week - still about £4,000 short of the average weekly target.
